"age_category","gender","pet_preferences","preference_count","preference_rank"
"Middle-Age Adult","Female","Cat","108","1"
"Middle-Age Adult","Female","Dog","102","2"
"Middle-Age Adult","Male","Cat","118","1"
"Middle-Age Adult","Male","Dog","98","2"
"Senior","Female","Cat","58","1"
"Senior","Female","Dog","57","2"
"Senior","Male","Cat","61","1"
"Senior","Male","Dog","56","2"
"Young Adult","Female","Dog","59","1"
"Young Adult","Female","Cat","55","2"
"Young Adult","Male","Dog","59","1"
"Young Adult","Male","Cat","50","2"
