"species_name","count_of_low","count_of_medium","count_of_high","percent_of_low","percent_of_medium","percent_of_high","total_of_species"
"Cat","103","81","49","44.21","34.76","21.03","233"
"Turtle","7","4","1","58.33","33.33","8.33","12"
"Fish","24","12","8","54.55","27.27","18.18","44"
"Hamster","16","17","10","37.21","39.53","23.26","43"
"Guinea Pig","43","20","11","58.11","27.03","14.86","74"
"Lizard","14","6","3","60.87","26.09","13.04","23"
"Rabbit","15","3","3","71.43","14.29","14.29","21"
"Dog","110","119","72","36.54","39.53","23.92","301"
"Bird","32","14","8","59.26","25.93","14.81","54"
"Snake","1","8","6","6.67","53.33","40.00","15"
"Parrot","14","2","1","82.35","11.76","5.88","17"
