"species_name","count_of_low","count_of_medium","count_of_high","percent_of_low","percent_of_medium","percent_of_high","total_of_species"
"Fish","34","23","3","56.67","38.33","5.00","60"
"Rabbit","23","9","3","65.71","25.71","8.57","35"
"Lizard","28","5","1","82.35","14.71","2.94","34"
"Parrot","11","5","2","61.11","27.78","11.11","18"
"Guinea Pig","42","34","24","42.00","34.00","24.00","100"
"Dog","168","143","87","42.21","35.93","21.86","398"
"Turtle","4","2","5","36.36","18.18","45.45","11"
"Bird","32","20","11","50.79","31.75","17.46","63"
"Snake","8","7","8","34.78","30.43","34.78","23"
"Cat","156","134","81","42.05","36.12","21.83","371"
"Hamster","20","16","14","40.00","32.00","28.00","50"
