"species_name","count_of_low","count_of_medium","count_of_high","percent_of_low","percent_of_medium","percent_of_high","total_of_species"
"Dog","225","218","122","39.82","38.58","21.59","565"
"Cat","245","196","121","43.59","34.88","21.53","562"
"Hamster","36","33","24","38.71","35.48","25.81","93"
"Fish","32","21","3","57.14","37.50","5.36","56"
"Guinea Pig","38","20","19","49.35","25.97","24.68","77"
"Snake","9","15","14","23.68","39.47","36.84","38"
"Rabbit","38","12","6","67.86","21.43","10.71","56"
"Bird","20","11","8","51.28","28.21","20.51","39"
"Lizard","42","11","4","73.68","19.30","7.02","57"
"Parrot","6","5","2","46.15","38.46","15.38","13"
"Turtle","3","1","2","50.00","16.67","33.33","6"
