"species_name","adoption_date","event_name","event_date","city"
"Cat","2021-10-27","Fall Adoptathon","2021-09-05","Sacramento"
"Bird","2022-06-15","Happy Summer Tails","2022-06-06","Santa Barbara"
"Cat","2023-02-02","Paws for a Cause","2023-01-04","Oakland"
"Dog","2023-06-11","Happy Summer Tails","2023-06-06","Los Angeles"
"Cat","2023-08-27","Happy Summer Tails","2023-06-06","Los Angeles"
"Cat","2022-04-18","Furry Friends Fiesta","2022-03-04","Fresno"
"Lizard","2023-04-27","Furry Friends Fiesta","2023-03-04","San Diego"
"Guinea Pig","2022-03-28","Furry Friends Fiesta","2022-03-04","Fresno"
"Dog","2020-02-20","Paws for a Cause","2020-01-04","Los Angeles"
"Dog","2023-02-25","Paws for a Cause","2023-01-04","Oakland"
"Cat","2021-02-23","Paws for a Cause","2021-01-04","Fresno"
"Lizard","2022-12-13","Fall Adoptathon","2022-09-05","Irvine"
"Cat","2023-08-22","Happy Summer Tails","2023-06-06","Los Angeles"
"Cat","2022-05-29","Furry Friends Fiesta","2022-03-04","Fresno"
"Guinea Pig","2023-12-03","Fall Adoptathon","2023-09-05","Bakersfield"
"Cat","2021-04-11","Furry Friends Fiesta","2021-03-04","Bakersfield"
"Cat","2023-05-01","Furry Friends Fiesta","2023-03-04","San Diego"
"Lizard","2023-07-26","Happy Summer Tails","2023-06-06","Los Angeles"
"Guinea Pig","2023-01-02","Fall Adoptathon","2022-09-05","Irvine"
"Cat","2023-10-26","Fall Adoptathon","2023-09-05","Bakersfield"
"Cat","2023-03-07","Furry Friends Fiesta","2023-03-04","San Diego"
"Bird","2021-04-30","Furry Friends Fiesta","2021-03-04","Bakersfield"
"Cat","2023-04-17","Furry Friends Fiesta","2023-03-04","San Diego"
"Cat","2023-08-09","Happy Summer Tails","2023-06-06","Los Angeles"
"Cat","2023-11-04","Fall Adoptathon","2023-09-05","Bakersfield"
"Bird","2022-01-05","Paws for a Cause","2022-01-04","Los Angeles"
"Cat","2020-11-21","Fall Adoptathon","2020-09-05","San Diego"
"Cat","2023-06-09","Happy Summer Tails","2023-06-06","Los Angeles"
"Dog","2022-05-26","Furry Friends Fiesta","2022-03-04","Fresno"
"Cat","2022-05-11","Furry Friends Fiesta","2022-03-04","Fresno"
"Cat","2023-12-02","Fall Adoptathon","2023-09-05","Bakersfield"
"Dog","2023-02-02","Paws for a Cause","2023-01-04","Oakland"
