"adoption_id","adoption_date","adoption_event_id","adoption_event_status"
1,"2021-10-27",8,"With Adoption Event"
2,"2021-09-30","","Without Adoption Event"
3,"2021-04-12","","Without Adoption Event"
4,"2023-11-01","","Without Adoption Event"
5,"2020-03-09","","Without Adoption Event"
6,"2022-06-15",11,"With Adoption Event"
7,"2021-02-18","","Without Adoption Event"
8,"2023-08-20","","Without Adoption Event"
9,"2022-11-24","","Without Adoption Event"
10,"2019-05-28","","Without Adoption Event"
11,"2023-02-02",13,"With Adoption Event"
12,"2022-07-08","","Without Adoption Event"
13,"2023-06-11",15,"With Adoption Event"
14,"2023-11-14","","Without Adoption Event"
15,"2023-09-09","","Without Adoption Event"
16,"2022-05-26","","Without Adoption Event"
17,"2019-12-18","","Without Adoption Event"
18,"2023-08-27",15,"With Adoption Event"
19,"2023-08-31","","Without Adoption Event"
20,"2022-04-18",10,"With Adoption Event"
21,"2023-04-27",14,"With Adoption Event"
22,"2021-11-17","","Without Adoption Event"
23,"2023-12-18","","Without Adoption Event"
24,"2021-07-23","","Without Adoption Event"
25,"2023-02-10","","Without Adoption Event"
26,"2022-11-29","","Without Adoption Event"
27,"2022-05-13","","Without Adoption Event"
28,"2022-09-10","","Without Adoption Event"
29,"2022-03-28",10,"With Adoption Event"
30,"2022-07-11","","Without Adoption Event"
31,"2023-09-11","","Without Adoption Event"
32,"2020-02-20",1,"With Adoption Event"
33,"2022-06-01","","Without Adoption Event"
34,"2023-10-28","","Without Adoption Event"
35,"2023-12-31","","Without Adoption Event"
36,"2022-12-09","","Without Adoption Event"
37,"2022-06-12","","Without Adoption Event"
38,"2022-03-26","","Without Adoption Event"
39,"2021-10-20","","Without Adoption Event"
40,"2022-01-20","","Without Adoption Event"
41,"2023-03-26","","Without Adoption Event"
42,"2023-03-05","","Without Adoption Event"
43,"2023-02-25",13,"With Adoption Event"
44,"2021-02-23",5,"With Adoption Event"
45,"2022-12-13",12,"With Adoption Event"
46,"2023-08-22",15,"With Adoption Event"
47,"2022-05-29",10,"With Adoption Event"
48,"2023-06-20","","Without Adoption Event"
49,"2023-10-03","","Without Adoption Event"
50,"2021-01-17","","Without Adoption Event"
51,"2023-05-16","","Without Adoption Event"
52,"2023-05-17","","Without Adoption Event"
53,"2021-05-08","","Without Adoption Event"
54,"2023-12-03",16,"With Adoption Event"
55,"2019-11-26","","Without Adoption Event"
56,"2023-08-05","","Without Adoption Event"
57,"2022-07-17","","Without Adoption Event"
58,"2019-11-02","","Without Adoption Event"
59,"2021-04-11",6,"With Adoption Event"
60,"2023-05-01",14,"With Adoption Event"
61,"2020-08-24","","Without Adoption Event"
62,"2020-09-29","","Without Adoption Event"
63,"2023-07-26",15,"With Adoption Event"
64,"2023-10-25","","Without Adoption Event"
65,"2023-08-23","","Without Adoption Event"
66,"2023-01-02",12,"With Adoption Event"
67,"2023-07-14","","Without Adoption Event"
68,"2023-05-10","","Without Adoption Event"
69,"2023-10-26",16,"With Adoption Event"
70,"2022-03-13","","Without Adoption Event"
71,"2023-10-20","","Without Adoption Event"
72,"2023-02-22","","Without Adoption Event"
73,"2022-09-24","","Without Adoption Event"
74,"2020-01-21","","Without Adoption Event"
75,"2021-01-11","","Without Adoption Event"
76,"2023-04-11","","Without Adoption Event"
77,"2023-09-24","","Without Adoption Event"
78,"2023-03-07",14,"With Adoption Event"
79,"2022-06-25","","Without Adoption Event"
80,"2022-04-04","","Without Adoption Event"
81,"2020-12-13","","Without Adoption Event"
82,"2022-01-31","","Without Adoption Event"
83,"2021-10-02","","Without Adoption Event"
84,"2023-08-16","","Without Adoption Event"
85,"2021-04-30",6,"With Adoption Event"
86,"2023-04-17",14,"With Adoption Event"
87,"2023-08-09",15,"With Adoption Event"
88,"2022-11-23","","Without Adoption Event"
89,"2022-06-01","","Without Adoption Event"
90,"2023-11-04",16,"With Adoption Event"
91,"2022-01-05",9,"With Adoption Event"
92,"2020-11-21",4,"With Adoption Event"
93,"2023-12-07","","Without Adoption Event"
94,"2023-06-09",15,"With Adoption Event"
95,"2022-05-26",10,"With Adoption Event"
96,"2022-05-11",10,"With Adoption Event"
97,"2023-12-03","","Without Adoption Event"
98,"2022-08-01","","Without Adoption Event"
99,"2023-12-02",16,"With Adoption Event"
100,"2023-01-07","","Without Adoption Event"
101,"2020-12-17","","Without Adoption Event"
102,"2021-02-10","","Without Adoption Event"
103,"2023-09-29","","Without Adoption Event"
104,"2023-02-02",13,"With Adoption Event"
105,"2023-05-10","","Without Adoption Event"
106,"2019-12-30","","Without Adoption Event"
107,"2021-11-08",8,"With Adoption Event"
108,"2020-07-06","","Without Adoption Event"
109,"2023-12-27","","Without Adoption Event"
110,"2019-11-03","","Without Adoption Event"
111,"2023-08-11","","Without Adoption Event"
112,"2023-04-21",14,"With Adoption Event"
113,"2023-05-20",14,"With Adoption Event"
114,"2023-03-01","","Without Adoption Event"
115,"2023-11-08",16,"With Adoption Event"
116,"2023-06-03",14,"With Adoption Event"
117,"2023-05-01","","Without Adoption Event"
118,"2023-11-03",16,"With Adoption Event"
119,"2023-02-22",13,"With Adoption Event"
120,"2020-02-24","","Without Adoption Event"
121,"2022-06-20","","Without Adoption Event"
122,"2022-10-20","","Without Adoption Event"
123,"2020-11-26",4,"With Adoption Event"
124,"2021-06-26","","Without Adoption Event"
125,"2022-12-28","","Without Adoption Event"
126,"2022-11-24","","Without Adoption Event"
127,"2022-10-15","","Without Adoption Event"
128,"2022-04-10","","Without Adoption Event"
129,"2021-04-14",6,"With Adoption Event"
130,"2018-11-09","","Without Adoption Event"
131,"2023-05-24","","Without Adoption Event"
132,"2023-08-16",15,"With Adoption Event"
133,"2021-08-30",7,"With Adoption Event"
134,"2019-05-17","","Without Adoption Event"
135,"2021-12-27",8,"With Adoption Event"
136,"2023-09-07","","Without Adoption Event"
137,"2022-09-08",12,"With Adoption Event"
138,"2023-12-17","","Without Adoption Event"
139,"2023-07-23","","Without Adoption Event"
140,"2022-10-05","","Without Adoption Event"
141,"2021-12-29","","Without Adoption Event"
142,"2021-06-05","","Without Adoption Event"
143,"2023-09-10","","Without Adoption Event"
144,"2023-02-27","","Without Adoption Event"
145,"2023-09-14","","Without Adoption Event"
146,"2022-09-05","","Without Adoption Event"
147,"2021-02-25","","Without Adoption Event"
148,"2023-09-16","","Without Adoption Event"
149,"2023-11-07",16,"With Adoption Event"
150,"2023-03-26","","Without Adoption Event"
151,"2023-08-11","","Without Adoption Event"
152,"2023-10-11",16,"With Adoption Event"
153,"2022-01-02",8,"With Adoption Event"
154,"2021-08-21","","Without Adoption Event"
155,"2023-05-18","","Without Adoption Event"
156,"2022-11-02","","Without Adoption Event"
157,"2019-05-10","","Without Adoption Event"
158,"2022-12-09","","Without Adoption Event"
159,"2022-07-13","","Without Adoption Event"
160,"2020-12-23",4,"With Adoption Event"
161,"2022-10-11","","Without Adoption Event"
162,"2022-12-12","","Without Adoption Event"
163,"2020-07-21","","Without Adoption Event"
164,"2021-01-16","","Without Adoption Event"
