health_record_id,pet_id,checkup_date,health_status,vaccination_status
1,913,2017-03-15,Healthy,Up to Date
2,270,2017-03-16,Healthy,Up to Date
3,1209,2017-03-17,Healthy,Up to Date
4,246,2017-03-18,Needs Care,Up to Date
5,335,2017-03-18,Needs Care,Up to Date
6,525,2017-03-18,Healthy,Up to Date
7,1254,2017-03-18,Healthy,Up to Date
8,1298,2017-03-24,Healthy,Up to Date
9,1722,2017-03-29,Healthy,Up to Date
10,1831,2017-04-01,Healthy,Up to Date
11,128,2017-04-02,Healthy,Up to Date
12,1712,2017-04-02,Healthy,Up to Date
13,500,2017-04-04,Healthy,Up to Date
14,579,2017-04-04,Healthy,Up to Date
15,850,2017-04-05,Healthy,Up to Date
16,338,2017-04-08,Healthy,Up to Date
17,1332,2017-04-08,Needs Care,Up to Date
18,1596,2017-04-11,Needs Care,Up to Date
19,1787,2017-04-11,Healthy,Up to Date
20,828,2017-04-12,Healthy,Up to Date
21,755,2017-04-13,Healthy,Up to Date
22,158,2017-04-18,Needs Care,Up to Date
23,969,2017-04-18,Healthy,Up to Date
24,1956,2017-04-18,Needs Care,Up to Date
25,896,2017-04-22,Needs Care,Up to Date
26,1612,2017-04-29,Healthy,Up to Date
27,940,2017-05-01,Healthy,Up to Date
28,1983,2017-05-03,Needs Care,Up to Date
29,1230,2017-05-10,Needs Care,Up to Date
30,830,2017-05-13,Healthy,Up to Date
31,790,2017-05-19,Needs Care,Up to Date
32,1407,2017-05-30,Healthy,Up to Date
33,1374,2017-06-01,Healthy,Up to Date
34,1898,2017-06-01,Healthy,Up to Date
35,261,2017-06-05,Healthy,Up to Date
36,460,2017-06-09,Needs Care,Up to Date
37,614,2017-06-09,Needs Care,Up to Date
38,906,2017-06-22,Special Attention,Up to Date
39,1194,2017-06-24,Healthy,Up to Date
40,1643,2017-06-30,Needs Care,Up to Date
41,329,2017-07-01,Under Observation,Up to Date
42,1486,2017-07-05,Healthy,Up to Date
43,729,2017-07-06,Healthy,Up to Date
44,670,2017-07-08,Healthy,Up to Date
45,1985,2017-07-09,Healthy,Up to Date
46,1230,2017-07-15,Healthy,Up to Date
47,662,2017-07-18,Healthy,Up to Date
48,1227,2017-07-20,Healthy,Up to Date
49,657,2017-07-29,Needs Care,Up to Date
50,1004,2017-07-29,Healthy,Up to Date
51,1016,2017-07-30,Healthy,Up to Date
52,619,2017-08-01,Needs Care,Up to Date
53,1260,2017-08-07,Healthy,Up to Date
54,1263,2017-08-08,Under Observation,Up to Date
55,347,2017-08-12,Needs Care,Up to Date
56,746,2017-08-12,Special Attention,Up to Date
57,1519,2017-08-13,Needs Care,Up to Date
58,360,2017-08-14,Healthy,Up to Date
59,1243,2017-08-23,Healthy,Up to Date
60,1103,2017-08-24,Needs Care,Up to Date
61,1730,2017-08-24,Special Attention,Up to Date
62,1618,2017-08-30,Healthy,Up to Date
63,100,2017-09-01,Healthy,Up to Date
64,1391,2017-09-01,Needs Care,Up to Date
65,40,2017-09-02,Healthy,Up to Date
66,1718,2017-09-03,Healthy,Up to Date
67,1504,2017-09-05,Healthy,Up to Date
68,428,2017-09-06,Needs Care,Up to Date
69,1075,2017-09-08,Needs Care,Up to Date
70,278,2017-09-10,Healthy,Up to Date
71,639,2017-09-14,Healthy,Up to Date
72,913,2017-09-15,Healthy,Needs Update
73,1303,2017-09-15,Healthy,Up to Date
74,1209,2017-09-17,Needs Care,Up to Date
75,246,2017-09-18,Healthy,Needs Update
76,1254,2017-09-18,Healthy,Up to Date
77,98,2017-09-23,Healthy,Up to Date
78,427,2017-09-24,Healthy,Up to Date
79,1298,2017-09-24,Healthy,Up to Date
80,1722,2017-09-29,Healthy,Up to Date
81,1664,2017-10-01,Under Observation,Up to Date
82,1831,2017-10-01,Healthy,Up to Date
83,128,2017-10-02,Healthy,Up to Date
84,1712,2017-10-02,Healthy,Up to Date
85,500,2017-10-04,Needs Care,Up to Date
86,579,2017-10-04,Healthy,Up to Date
87,850,2017-10-05,Needs Care,Up to Date
88,882,2017-10-08,Under Observation,Up to Date
89,1332,2017-10-08,Healthy,Up to Date
90,1672,2017-10-08,Healthy,Up to Date
91,1787,2017-10-11,Needs Care,Up to Date
92,828,2017-10-12,Healthy,Up to Date
93,557,2017-10-13,Healthy,Up to Date
94,755,2017-10-13,Needs Care,Up to Date
95,21,2017-10-16,Healthy,Up to Date
96,158,2017-10-18,Healthy,Up to Date
97,1956,2017-10-18,Healthy,Up to Date
98,501,2017-10-20,Healthy,Up to Date
99,1539,2017-10-20,Healthy,Up to Date
100,464,2017-10-22,Healthy,Up to Date
101,896,2017-10-22,Healthy,Up to Date
102,735,2017-10-23,Healthy,Up to Date
