pet_id,trait_id
1,1
1,2
2,1
2,3
3,4
3,5
4,2
4,6
5,2
5,1
6,7
7,8
7,9
8,1
9,1
9,2
10,4
10,5
11,6
12,5
13,5
14,5
15,5
16,5
17,5
18,10
18,11
19,12
20,5
21,1
21,4
22,5
23,10
23,13
24,5
25,10
25,14
26,1
27,2
27,1
28,6
28,2
29,2
29,14
30,13
31,2
31,6
32,10
32,13
33,1
33,2
34,4
34,1
35,14
35,10
36,14
37,4
38,10
38,11
39,10
39,11
40,10
40,13
41,1
42,4
42,7
43,5
43,4
44,11
44,10
45,6
46,10
46,11
47,4
48,8
48,9
49,10
49,11
50,5
51,4
52,2
53,5
54,1
54,4
55,5
56,11
56,10
57,4
57,5
58,5
59,3
60,2
61,1
62,5
63,5
64,5
65,10
65,13
66,1
66,2
67,5
68,5
69,1
69,4
70,6
71,13
72,5
73,2
74,13
74,10
75,2
75,6
76,10
76,14
77,5
78,1
78,2
79,9
79,8
80,1
81,3
82,3
82,1
83,13
83,10
84,4
84,1
85,1
86,4
87,6
87,2
88,1
88,4
89,10
89,13
90,1
91,13
91,10
92,2
93,1
93,3
94,2
94,1
95,1
95,2
96,10
97,10
98,5
99,5
100,10
100,13
101,1
101,2
102,5
103,5
104,4
104,1
105,5
106,1
106,2
107,3
107,1
108,4
109,10
109,13
110,5
111,5
112,6
112,2
113,13
113,10
114,1
114,4
115,13
115,10
116,4
117,11
117,10
118,4
118,1
119,5
119,4
120,13
120,10
121,11
122,10
122,13
123,4
124,13
124,10
125,4
126,5
127,12
128,5
129,6
129,2
130,10
130,11
131,11
131,10
132,1
133,5
133,1
134,1
134,2
135,14
135,10
136,9
137,5
138,2
139,13
139,10
140,14
140,10
141,1
142,5
143,5
144,5
145,5
146,5
147,4
148,10
148,11
149,10
149,13
150,5
151,10
152,5
153,5
154,1
154,4
155,6
156,14
157,11
158,2
159,6
160,2
161,5
162,12
162,1
163,5
164,5
165,14
166,11
166,10
167,5
168,4
168,1
169,1
169,4
170,3
171,2
172,4
173,4
173,5
174,10
174,14
175,5
176,5
177,5
178,2
178,1
179,10
179,14
180,5
181,4
182,13
183,4
183,1
184,5
185,5
186,5
187,10
188,10
188,11
189,9
189,8
190,1
190,2
191,6
191,2
192,5
192,4
193,2
193,6
194,1
194,2
195,2
195,6
196,11
196,10
197,4
198,5
199,5
200,2
200,1
201,4
201,5
202,4
202,5
203,5
204,10
205,5
206,5
207,4
208,5
209,6
209,2
210,1
210,5
211,4
212,5
213,4
214,13
215,4
216,5
217,13
217,10
218,5
219,5
219,4
220,5
221,5
221,4
222,5
223,11
223,10
224,5
225,1
225,2
226,5
227,10
227,13
228,2
229,5
230,15
231,5
231,4
232,14
232,2
233,10
233,13
234,1
234,2
235,12
235,1
236,5
237,14
237,10
238,2
239,14
239,2
240,10
240,13
241,1
241,4
242,5
243,1
243,2
244,10
244,11
245,5
246,2
247,5
248,10
248,13
249,5
250,10
250,13
251,10
252,2
252,1
253,11
254,10
254,13
255,5
256,10
257,4
258,1
259,1
259,2
260,5
261,2
261,6
262,1
263,5
264,4
264,1
265,10
266,13
266,10
267,4
267,1
268,5
269,2
269,1
270,10
271,1
272,1
272,2
273,4
273,1
274,5
275,5
275,1
276,12
277,5
278,11
278,10
279,3
280,5
281,1
281,2
282,2
282,6
283,6
283,2
284,1
285,5
286,5
287,1
287,4
288,2
288,15
289,10
290,5
291,2
291,6
292,14
292,10
293,4
294,9
294,8
295,5
296,13
296,10
297,5
298,5
299,4
299,5
300,1
301,6
301,2
302,1
303,2
303,1
304,5
305,10
305,14
306,1
306,2
307,1
307,2
308,5
309,4
310,5
311,1
311,4
312,10
312,11
313,9
314,5
315,5
316,1
316,3
317,12
317,1
318,11
319,2
319,1
320,1
321,3
322,5
323,2
323,1
324,4
324,1
325,5
326,6
326,2
327,10
327,11
328,10
328,13
329,5
330,10
330,11
331,5
332,8
332,9
333,10
333,11
334,10
334,11
335,10
336,5
337,4
337,7
338,10
339,14
339,10
340,10
341,13
341,10
342,4
342,1
343,5
344,5
345,1
345,2
346,5
347,13
347,10
348,2
348,1
349,1
349,2
350,10
350,11
351,1
351,2
352,5
352,4
353,1
353,5
354,3
355,9
355,8
356,10
356,11
357,5
358,5
358,4
359,1
359,2
360,2
360,6
361,10
362,15
363,4
364,10
365,2
365,6
366,5
367,1
368,1
368,4
369,5
370,1
370,2
371,1
372,2
372,6
373,1
373,4
374,5
375,2
376,10
376,11
377,6
377,2
378,2
378,6
379,11
379,10
380,2
380,6
381,4
382,10
382,11
383,14
383,2
384,2
384,1
385,5
386,10
386,13
387,8
388,4
389,11
390,4
390,1
391,5
392,6
392,2
393,11
393,10
394,1
394,4
395,1
396,1
397,10
398,2
398,1
399,4
400,3
401,14
401,10
402,5
402,4
403,5
404,11
404,10
405,5
406,2
407,1
408,13
408,10
409,10
409,14
410,5
411,2
411,1
412,2
412,6
413,5
414,5
415,4
416,4
416,1
417,5
418,10
418,11
419,4
419,5
420,10
420,13
421,4
422,11
422,10
423,4
423,5
424,13
424,10
425,2
425,14
426,6
427,14
427,2
428,10
429,5
430,10
430,13
431,2
431,6
432,10
433,5
433,4
434,1
434,12
435,11
435,10
436,9
436,8
437,1
438,5
439,5
440,1
441,5
441,4
442,1
442,2
443,5
444,1
444,2
445,1
446,6
446,2
447,2
447,6
448,13
448,10
449,10
449,11
450,10
451,2
452,5
453,5
454,6
454,2
455,2
455,6
456,8
456,9
457,5
458,13
458,10
459,10
459,13
460,5
461,2
461,1
462,10
463,6
464,5
465,13
465,10
466,2
467,2
467,1
468,15
469,11
470,10
471,5
472,11
472,10
473,2
474,1
474,4
475,11
475,10
476,1
477,2
477,6
478,10
478,11
479,2
479,6
480,10
480,14
481,1
481,2
482,1
483,4
484,5
485,10
485,11
486,2
486,6
487,3
488,5
489,10
489,14
490,8
490,9
491,5
492,4
493,9
493,8
494,10
495,2
495,1
496,2
497,10
497,11
498,2
498,1
499,9
500,5
501,5
502,5
503,5
504,9
504,8
505,5
506,11
507,4
508,2
508,6
509,11
509,10
510,11
510,10
511,2
511,15
512,1
512,2
513,5
514,5
515,2
516,13
516,10
517,2
517,1
518,5
519,1
519,2
520,2
520,1
521,2
522,4
523,5
524,2
524,1
525,5
526,2
526,1
527,10
527,13
528,10
528,13
529,4
529,5
530,2
530,1
531,5
532,5
533,10
533,11
534,5
535,14
536,11
537,10
538,5
539,2
539,1
540,11
541,2
542,5
543,10
544,5
545,6
545,2
546,6
547,11
548,5
549,11
549,10
550,4
550,1
551,11
551,10
552,2
552,1
553,5
553,4
554,13
554,10
555,10
555,14
556,3
557,6
557,2
558,5
558,4
559,11
559,10
560,9
560,8
561,13
561,10
562,10
563,10
563,14
564,13
565,8
565,9
566,2
566,1
567,5
568,4
569,10
569,11
570,6
570,2
571,14
571,10
572,5
573,13
574,14
574,10
575,5
576,5
577,14
577,10
578,10
579,13
579,10
580,2
580,6
581,6
582,5
583,4
584,8
584,9
585,13
585,10
586,5
587,13
587,10
588,6
589,10
589,13
590,4
591,5
592,5
593,11
594,2
594,6
595,1
595,2
596,5
597,6
597,2
598,1
598,2
599,5
600,6
600,2
601,1
601,2
602,4
602,1
603,11
604,2
604,15
605,4
605,1
606,5
607,4
607,5
608,3
608,1
609,4
609,1
610,4
611,10
611,11
612,6
613,5
614,5
615,5
616,2
616,6
617,2
617,1
618,10
619,6
619,2
620,2
620,6
621,5
622,5
623,6
623,2
624,8
625,5
626,4
627,3
628,10
628,13
629,2
629,1
630,15
631,13
631,10
632,5
633,10
634,1
634,2
635,5
636,6
636,2
637,13
638,13
639,11
639,10
640,5
641,1
641,4
642,2
643,5
644,3
645,6
645,2
646,4
647,5
648,4
649,5
650,5
651,10
652,1
653,10
654,5
655,10
655,13
656,5
657,5
658,5
659,10
659,14
660,2
660,14
661,4
662,5
663,10
663,11
664,13
664,10
665,1
665,4
666,1
666,4
667,6
667,2
668,11
669,5
670,10
670,11
671,5
672,5
673,1
673,4
674,5
675,5
676,5
677,5
678,5
679,10
680,12
681,1
681,2
682,1
682,4
683,5
684,4
685,2
685,6
686,4
686,7
687,5
688,5
689,6
689,2
690,10
690,11
691,13
692,2
692,6
693,10
693,11
694,5
695,10
695,13
696,5
697,14
697,10
698,5
699,5
700,1
700,4
701,6
701,2
702,1
702,5
703,5
704,10
705,4
706,5
707,9
707,8
708,12
709,10
709,11
710,5
711,5
712,1
712,4
713,4
713,5
714,10
714,11
715,13
715,10
716,2
716,1
717,2
717,6
718,4
719,4
719,5
720,5
721,9
721,8
722,5
723,14
723,10
724,2
724,6
725,1
726,5
727,5
728,4
728,1
729,11
729,10
730,5
731,14
731,10
732,5
733,5
734,5
735,11
735,10
736,5
737,6
737,2
738,10
738,11
739,10
739,11
740,8
740,9
741,4
741,1
742,5
743,6
743,2
744,1
744,3
745,5
746,11
746,10
747,10
747,14
748,4
748,5
749,11
749,10
750,4
750,1
751,11
752,1
752,4
753,5
754,10
754,13
755,11
755,10
756,6
757,2
758,13
758,10
759,1
760,5
761,6
762,5
763,11
763,10
764,5
765,2
766,5
767,2
767,6
768,1
768,5
769,2
769,6
770,1
771,5
772,9
773,5
774,1
775,1
776,1
777,1
777,2
778,1
778,3
779,5
780,4
780,1
781,2
781,1
782,4
783,2
783,6
784,5
785,5
786,2
787,13
787,10
788,14
788,2
789,11
790,10
791,10
791,13
792,5
793,4
793,5
794,5
794,4
795,5
796,5
797,3
798,13
799,1
800,5
800,4
801,5
802,2
802,6
803,1
804,5
805,4
806,5
807,11
807,10
808,4
809,5
810,5
811,8
811,9
812,5
813,3
814,5
815,6
816,5
817,4
818,1
818,3
819,2
820,1
820,5
821,2
821,1
822,1
822,2
823,1
823,4
824,14
824,10
825,5
826,10
826,14
827,11
827,10
828,5
829,5
830,5
831,13
831,10
832,14
832,2
833,13
833,10
834,10
834,13
835,5
836,12
837,1
837,2
838,11
838,10
839,5
840,5
841,10
841,13
842,5
843,4
844,6
844,2
845,2
845,1
846,2
846,6
847,5
848,10
849,5
850,2
850,6
851,4
852,1
852,2
853,10
854,15
854,2
855,4
855,1
856,6
856,2
857,5
858,11
858,10
859,6
859,2
860,2
860,6
861,5
862,3
863,5
864,5
865,2
865,6
866,10
866,13
867,10
867,13
868,10
868,11
869,5
869,4
870,4
871,5
872,6
873,3
873,1
874,4
875,5
876,2
876,1
877,5
878,5
879,11
880,1
880,4
881,14
882,13
882,10
883,2
883,6
884,5
885,10
885,11
886,5
887,9
888,5
889,14
890,14
890,10
891,11
892,11
893,5
894,5
895,2
895,1
896,5
897,1
898,2
898,6
899,4
899,1
900,5
901,10
901,11
902,10
902,11
903,10
903,13
904,3
905,11
905,10
906,13
907,4
907,5
908,2
909,14
909,10
910,10
910,11
911,5
912,1
912,2
913,5
914,5
915,9
915,8
916,9
916,8
917,4
917,1
918,5
919,5
920,13
920,10
921,4
921,1
922,5
923,5
924,5
925,5
926,11
926,10
927,10
927,13
928,5
929,4
929,1
930,4
930,1
931,5
932,5
933,5
934,6
934,2
935,5
936,2
936,1
937,4
937,1
938,1
939,5
940,14
941,4
942,2
942,1
943,10
944,5
945,2
946,2
946,6
947,10
947,11
948,5
949,5
950,12
951,5
952,10
952,11
953,2
953,1
954,5
954,4
955,1
955,4
956,5
957,8
957,9
958,8
958,9
959,4
959,1
960,2
960,1
961,10
961,11
962,1
963,2
963,6
964,2
964,1
965,15
966,10
967,4
967,1
968,3
968,1
969,6
969,2
970,3
971,2
971,6
972,5
973,6
973,2
974,5
975,2
975,6
976,5
976,4
977,6
978,5
979,6
979,2
980,5
981,5
982,10
982,14
983,2
983,6
984,2
984,6
985,1
985,5
986,5
987,1
988,1
988,4
989,5
990,1
990,4
991,2
991,6
992,1
993,5
994,13
995,1
996,6
996,2
997,8
997,9
998,3
999,5
1000,5
1001,13
1001,10
1002,4
1002,5
1003,5
1004,10
1005,8
1005,9
1006,9
1006,8
1007,1
1008,1
1008,4
1009,4
1009,7
1010,5
1011,10
1012,1
1012,4
1013,4
1013,1
1014,5
1015,5
1016,5
1017,10
1017,13
1018,10
1018,13
1019,1
1019,2
1020,13
1020,10
1021,5
1022,2
1023,5
1024,13
1025,2
1025,1
1026,10
1026,13
1027,11
1028,8
1028,9
1029,1
1030,13
1030,10
1031,1
1031,2
1032,10
1032,13
1033,14
1034,5
1035,2
1035,1
1036,5
1037,1
1037,4
1038,5
1039,10
1040,5
1041,2
1041,1
1042,1
1043,5
1044,2
1044,6
1045,2
1045,6
1046,10
1046,13
1047,2
1048,5
1049,6
1049,2
1050,4
1050,1
1051,10
1051,13
1052,14
1052,10
1053,5
1054,1
1054,2
1055,10
1055,11
1056,2
1056,14
1057,1
1057,2
1058,5
1059,5
1060,1
1061,5
1062,2
1063,4
1064,5
1065,13
1066,2
1067,5
1068,4
1069,5
1070,5
1071,14
1071,10
1072,5
1073,5
1074,5
1075,5
1076,5
1077,10
1077,13
1078,11
1079,2
1079,1
1080,1
1081,3
1082,10
1082,13
1083,5
1084,8
