pet_id,pet_name,species_id,subspecies_id,age_dec_2023,year_of_birth,arrival_date,gender,aggressiveness,adopted_status
1,Bogart,2,6,5,3/1/2018,7/1/2018,Male,Medium,Adopted
2,Gunther,6,55,2,4/1/2021,4/1/2021,Male,Low,Adopted
3, Candy,4,45,2,2/1/2021,4/1/2021,Female,Medium,Adopted
4,Homerun,3,25,6,11/1/2017,7/13/2022,Male,Medium,Adopted
5, Kona,2,7,3,2/1/2020,2/1/2020,Male,Medium,Adopted
6,Glimmer,8,65,24,11/1/1999,12/18/2019,Female,Low,Not Adopted
7,Glory,1,1,1,3/1/2022,5/1/2022,Female,High,Adopted
8,Khaleesi,7,60,12,2/1/2011,1/29/2020,Female,Low,Adopted
9,Lakota,2,8,1,12/1/2022,3/1/2023,Female,Low,Not Adopted
10, Fawn,4,46,3,4/1/2020,5/1/2020,Female,Medium,Not Adopted
11,Taba,3,26,12,9/1/2011,1/3/2021,Female,Low,Adopted
12,Gordon,11,80,89,11/1/1934,10/16/2020,Male,Low,Not Adopted
13,Huey,2,6,18,4/1/2005,12/11/2021,Male,High,Adopted
14, Angel,2,9,17,10/1/2006,10/25/2017,Female,Low,Adopted
15,Jewel,2,10,7,8/1/2016,10/9/2019,Female,Low,Adopted
16, Dexter,3,27,4,11/1/2019,11/1/2019,Male,High,Adopted
17,Mika,3,28,15,3/1/2008,10/23/2018,Female,Low,Adopted
18,Gizmo,3,29,8,6/1/2015,9/11/2023,Male,High,Adopted
19, Remi,9,70,4,7/1/2019,4/30/2023,Female,Low,Adopted
20, Mickey,3,30,2,6/1/2021,6/1/2021,Male,Low,Adopted
21, Coco,5,50,6,10/1/2017,10/16/2017,Male,Low,Adopted
22,Betsy,2,11,9,2/1/2014,11/15/2022,Female,Medium,Adopted
23,Junebug,2,10,3,11/1/2020,3/1/2021,Female,Low,Adopted
24, Rowdy,2,12,18,6/1/2005,2/27/2020,Male,Low,Adopted
25,Kraken,5,50,6,9/1/2017,10/25/2018,Male,Low,Not Adopted
26, Kiki,7,61,2,12/1/2021,5/1/2022,Female,Low,Adopted
27, Albert,2,7,2,4/1/2021,7/1/2021,Male,Medium,Adopted
28, Rani,3,29,2,6/1/2021,11/1/2021,Female,High,Not Adopted
29,Eskimo,9,71,11,7/1/2012,12/15/2023,Male,Low,Adopted
30,Winsome,2,13,6,5/1/2017,4/30/2018,Female,Low,Adopted
31,Mia,3,25,13,1/1/2010,10/1/2021,Female,Low,Adopted
32,Hadley,2,14,13,7/1/2010,6/4/2021,Female,Low,Adopted
33,Tails,2,15,2,5/1/2021,7/1/2021,Male,Medium,Adopted
34, Steve,1,2,4,7/1/2019,2/25/2020,Male,Low,Not Adopted
35,Stormy,5,51,1,4/1/2022,4/1/2022,Female,Medium,Adopted
36,Ember,5,50,2,10/1/2021,10/1/2021,Male,Low,Adopted
37, Beetle,1,1,2,12/1/2021,6/1/2022,Male,Medium,Adopted
38, Bianca,3,31,1,9/1/2022,9/1/2022,Female,Low,Adopted
39, Baxter,3,32,12,8/1/2011,3/8/2019,Male,Medium,Adopted
